Lens,Construction,Min. Focus,Filter Size,Weight,Lens Hood
DSB f/2.8 28 mm,,0.35 m,55 mm,240 g,57 mm Slip On
DSB f/1.9 50 mm,6 – 4,0.5 m,52 mm,215 g,54 mm Slip On
DSB f/2 55 mm,6 – 4,0.5 m,52 mm,200 g,54 mm Slip On
DSB f/2.8 135 mm,5 – 4,1.8 m,55 mm,380 g,-
